geneId	position	strand	description
B9J08_001879	scaffold00008:730586-731494	-	ribosomal RNA large subunit methyltransferase J
B9J08_001880	scaffold00008:731924-732652	+	hypothetical protein
B9J08_001881	scaffold00008:732878-733536	-	hypothetical protein
B9J08_001882	scaffold00008:733993-735000	-	hypothetical protein
B9J08_001883	scaffold00008:736049-737710	-	glycolate oxidase%2C subunit GlcD
B9J08_001884	scaffold00008:737857-738873	-	biotin synthase%2C mitochondrial
B9J08_001885	scaffold00008:739703-740354	+	hypothetical protein
B9J08_001886	scaffold00008:741020-741093	+	tRNA-Asn
B9J08_001887	scaffold00008:741757-743472	+	5-aminolevulinate synthase%2C mitochondrial
B9J08_001888	scaffold00008:744283-746184	+	hypothetical protein
B9J08_001889	scaffold00008:746874-747722	+	hypothetical protein
B9J08_001890	scaffold00008:748712-749734	+	serine/threonine-protein phosphatase PP2A-2 catalytic subunit
B9J08_001891	scaffold00008:750189-751322	+	hypothetical protein
B9J08_001892	scaffold00008:751497-752042	+	hypothetical protein
B9J08_001893	scaffold00008:752888-754801	+	V-type proton ATPase catalytic subunit A
B9J08_001894	scaffold00008:754936-755784	-	hypothetical protein
B9J08_001895	scaffold00008:756528-757688	-	hypothetical protein
B9J08_001896	scaffold00008:758474-759616	+	hypothetical protein
B9J08_001897	scaffold00008:759946-762285	+	hypothetical protein
B9J08_001898	scaffold00008:763325-767035	-	hypothetical protein
B9J08_001899	scaffold00008:768136-772950	+	hypothetical protein
B9J08_001900	scaffold00008:773263-776064	+	hypothetical protein
B9J08_001901	scaffold00008:776578-777942	+	hypothetical protein
B9J08_001902	scaffold00008:778321-781962	+	hypothetical protein
B9J08_001903	scaffold00008:782232-783821	+	hypothetical protein
B9J08_001904	scaffold00008:784639-785892	+	hypothetical protein
B9J08_001905	scaffold00008:785949-788381	-	hypothetical protein
B9J08_001906	scaffold00008:788612-789895	-	hypothetical protein
B9J08_001907	scaffold00008:790769-792070	-	hypothetical protein
B9J08_001908	scaffold00008:792901-794208	-	glycolipid 2-alpha-mannosyltransferase 2
B9J08_001909	scaffold00008:795704-797395	+	hypothetical protein
B9J08_001910	scaffold00008:797974-800082	+	hypothetical protein
B9J08_001911	scaffold00008:800593-802767	+	hypothetical protein
B9J08_001912	scaffold00008:802945-804600	-	elongator complex protein 3
B9J08_001913	scaffold00008:805239-806090	+	hypothetical protein
B9J08_001914	scaffold00008:806234-807685	-	hypothetical protein
B9J08_001915	scaffold00008:808510-810423	-	nucleolar GTP-binding protein 1
B9J08_001916	scaffold00008:810978-812084	-	hypothetical protein
B9J08_001917	scaffold00008:812317-813691	-	hypothetical protein
B9J08_001918	scaffold00008:817603-819348	-	hypothetical protein
B9J08_001919	scaffold00008:825797-827917	+	hypothetical protein
B9J08_001920	scaffold00008:829327-831663	+	hypothetical protein
B9J08_001921	scaffold00008:832496-834070	+	hypothetical protein
B9J08_001922	scaffold00008:834178-834831	-	60S ribosomal protein L10a
B9J08_001923	scaffold00008:835584-836582	+	hypothetical protein
B9J08_001924	scaffold00008:836651-839359	-	hypothetical protein
B9J08_001925	scaffold00008:839717-841516	-	hypothetical protein
B9J08_001926	scaffold00008:843058-844332	+	hypothetical protein
B9J08_001927	scaffold00008:844657-845907	+	methionine aminopeptidase 2
B9J08_001928	scaffold00008:846983-848208	+	hypothetical protein
B9J08_001929	scaffold00008:848632-850023	+	hypothetical protein
B9J08_001930	scaffold00008:850091-851092	-	hypothetical protein
B9J08_001931	scaffold00008:853001-853885	+	high osmolarity signaling protein SHO1
B9J08_001932	scaffold00008:855010-856332	+	hypothetical protein
B9J08_001933	scaffold00008:856397-858271	-	hypothetical protein
B9J08_001934	scaffold00008:858718-859719	-	hypothetical protein
B9J08_001935	scaffold00008:860352-862022	+	hypothetical protein
B9J08_001936	scaffold00008:862567-864111	+	hypothetical protein
B9J08_001937	scaffold00008:866090-866989	+	hypothetical protein
B9J08_001938	scaffold00008:867028-867990	-	hypothetical protein
B9J08_001939	scaffold00008:868119-870578	-	hypothetical protein
B9J08_001940	scaffold00008:871772-872131	+	hypothetical protein
B9J08_001941	scaffold00008:872623-873594	+	hypothetical protein
B9J08_001942	scaffold00008:873624-874865	-	hypothetical protein
B9J08_001943	scaffold00008:874991-880030	-	hypothetical protein
B9J08_001944	scaffold00008:880187-880876	-	hypothetical protein
B9J08_001945	scaffold00008:881114-882334	-	hypothetical protein
B9J08_001946	scaffold00008:882692-885796	-	hypothetical protein
B9J08_001947	scaffold00010:7927-8044	-	5s_rRNA
B9J08_001948	scaffold00010:15342-17324	-	hypothetical protein
B9J08_001949	scaffold00010:17954-18355	-	hypothetical protein
B9J08_001950	scaffold00010:19386-20666	-	hypothetical protein
B9J08_001951	scaffold00010:23437-25221	+	hypothetical protein
B9J08_001952	scaffold00010:25664-27289	+	hypothetical protein
B9J08_001953	scaffold00010:27861-27932	+	tRNA-Asp
B9J08_001954	scaffold00010:28026-30425	-	hypothetical protein
B9J08_001955	scaffold00010:30763-32061	-	hypothetical protein
B9J08_001956	scaffold00010:32509-33378	-	hypothetical protein
B9J08_001957	scaffold00010:34016-34975	-	hypothetical protein
B9J08_001958	scaffold00010:36967-38739	+	hypothetical protein
B9J08_001959	scaffold00010:39739-42999	+	histidine protein kinase NIK1
B9J08_001960	scaffold00010:43093-46329	-	DNA polymerase delta catalytic subunit
B9J08_001961	scaffold00010:46801-49833	-	hypothetical protein
B9J08_001962	scaffold00010:50030-50809	-	hypothetical protein
B9J08_001963	scaffold00010:51067-52302	-	hypothetical protein
B9J08_001964	scaffold00010:52552-53508	-	hypothetical protein
B9J08_001965	scaffold00010:53822-54973	-	hypothetical protein
B9J08_001966	scaffold00010:55242-56123	-	hypothetical protein
B9J08_001967	scaffold00010:56195-57310	-	hypothetical protein
B9J08_001968	scaffold00010:58093-59592	+	hypothetical protein
B9J08_001969	scaffold00010:59874-61448	+	hypothetical protein
B9J08_001970	scaffold00010:62225-63412	+	hypothetical protein
B9J08_001971	scaffold00010:64026-66407	+	hypothetical protein
B9J08_001972	scaffold00010:66506-70417	-	hypothetical protein
B9J08_001973	scaffold00010:72138-72464	+	hypothetical protein
B9J08_001974	scaffold00010:74336-75088	-	40S ribosomal protein S3
B9J08_001975	scaffold00010:75324-79376	-	phosphoribosylformylglycinamidine synthase
B9J08_001976	scaffold00010:80147-80413	+	hypothetical protein
B9J08_001977	scaffold00010:80705-82294	-	hypothetical protein
B9J08_001978	scaffold00010:82752-83129	-	hypothetical protein
B9J08_001979	scaffold00010:83348-83794	+	hypothetical protein
B9J08_001980	scaffold00010:84010-84510	+	hypothetical protein
B9J08_001981	scaffold00010:84836-86827	+	hypothetical protein
B9J08_001982	scaffold00010:86922-87014	-	tRNA-Ser
B9J08_001983	scaffold00010:88440-88521	-	tRNA-Leu
B9J08_001984	scaffold00010:89735-91366	-	hypothetical protein
B9J08_001985	scaffold00010:92448-94925	-	hypothetical protein
B9J08_001986	scaffold00010:96299-96604	-	hypothetical protein
B9J08_001987	scaffold00010:97456-99141	+	hypothetical protein
B9J08_001988	scaffold00010:100201-100641	+	hypothetical protein
B9J08_001989	scaffold00010:101388-102937	-	UTP-glucose-1-phosphate uridylyltransferase
B9J08_001990	scaffold00010:105277-105361	+	tRNA-Leu
B9J08_001991	scaffold00010:105582-106835	+	nicotinate phosphoribosyltransferase
B9J08_001992	scaffold00010:107012-109975	+	hypothetical protein
B9J08_001993	scaffold00010:110113-110913	+	hypothetical protein
B9J08_001994	scaffold00010:111087-112244	+	hypothetical protein
B9J08_001995	scaffold00010:112456-113220	+	hypothetical protein
B9J08_001996	scaffold00010:113317-114567	-	hypothetical protein
B9J08_001997	scaffold00010:114921-116273	-	hypothetical protein
B9J08_001998	scaffold00010:116510-118819	-	OPT family small oligopeptide transporter
B9J08_001999	scaffold00010:120800-122857	+	aspartate-tRNA ligase
B9J08_002000	scaffold00010:122906-125038	-	nucleolar protein 9
B9J08_002001	scaffold00010:125236-126005	-	hypothetical protein
B9J08_002002	scaffold00010:126995-128335	+	hypothetical protein
B9J08_002003	scaffold00010:128769-130820	+	hypothetical protein
B9J08_002004	scaffold00010:131104-133296	+	hypothetical protein
B9J08_002005	scaffold00010:133647-135431	+	hypothetical protein
B9J08_002006	scaffold00010:135728-136738	+	hypothetical protein
B9J08_002007	scaffold00010:136899-139145	+	hypothetical protein
B9J08_002008	scaffold00010:139279-142029	+	hypothetical protein
B9J08_002009	scaffold00010:142158-144131	-	hypothetical protein
B9J08_002010	scaffold00010:144492-145186	-	small COPII coat GTPase
B9J08_002011	scaffold00010:145462-146853	-	hypothetical protein
B9J08_002012	scaffold00010:148671-149618	+	hypothetical protein
B9J08_002013	scaffold00010:149831-151675	+	hypothetical protein
B9J08_002014	scaffold00010:151691-152416	-	hypothetical protein
B9J08_002015	scaffold00010:153082-154515	+	hypothetical protein
B9J08_002016	scaffold00010:154544-154930	-	hypothetical protein
B9J08_002017	scaffold00010:155139-157103	-	hypothetical protein
B9J08_002018	scaffold00010:157513-158499	+	thioredoxin
B9J08_002019	scaffold00010:159510-160907	+	hypothetical protein
B9J08_002020	scaffold00010:161050-161511	-	deoxyuridine 5'-triphosphate nucleotidohydrolase
B9J08_002021	scaffold00010:161614-162483	-	hypothetical protein
B9J08_002022	scaffold00010:163325-165247	+	hypothetical protein
B9J08_002023	scaffold00010:165371-167329	+	hypothetical protein
B9J08_002024	scaffold00010:168122-170362	+	hypothetical protein
B9J08_002025	scaffold00010:170509-172317	+	hypothetical protein
B9J08_002026	scaffold00010:172376-173101	-	Grx4 family monothiol glutaredoxin
B9J08_002027	scaffold00010:174767-178465	+	hypothetical protein
B9J08_002028	scaffold00010:178737-179051	+	hypothetical protein
B9J08_002029	scaffold00010:179107-179586	-	hypothetical protein
B9J08_002030	scaffold00010:179725-183306	-	hypothetical protein
B9J08_002031	scaffold00010:183556-184275	+	hypothetical protein
B9J08_002032	scaffold00010:184277-185575	-	hypothetical protein
B9J08_002033	scaffold00010:185855-187513	-	hypothetical protein
B9J08_002034	scaffold00010:188141-190405	-	hypothetical protein
B9J08_002035	scaffold00010:190921-191757	-	hypothetical protein
B9J08_002036	scaffold00010:192144-193544	+	hypothetical protein
B9J08_002037	scaffold00010:194825-195958	+	hypothetical protein
B9J08_002038	scaffold00010:196258-196813	+	hypothetical protein
B9J08_002039	scaffold00010:197009-197830	+	hypothetical protein
B9J08_002040	scaffold00010:197854-199249	-	hypothetical protein
B9J08_002041	scaffold00010:199809-214649	+	hypothetical protein
B9J08_002042	scaffold00010:214700-215938	-	hypothetical protein
B9J08_002043	scaffold00010:216600-221300	-	pentafunctional AROM polypeptide
B9J08_002044	scaffold00010:221630-223258	-	hypothetical protein
B9J08_002045	scaffold00010:223612-223687	+	tRNA-Arg
B9J08_002046	scaffold00010:223689-223761	+	tRNA-Phe
B9J08_002047	scaffold00010:223884-226658	-	hypothetical protein
B9J08_002048	scaffold00010:227463-228293	+	CDK-activating kinase assembly factor MAT1
B9J08_002049	scaffold00010:228319-229482	-	hypothetical protein
B9J08_002050	scaffold00010:229766-230344	+	hypothetical protein
B9J08_002051	scaffold00010:230364-232274	-	hypothetical protein
B9J08_002052	scaffold00010:232467-235064	-	hypothetical protein
B9J08_002053	scaffold00010:235526-236671	-	hypothetical protein
B9J08_002054	scaffold00010:236942-238264	+	hypothetical protein
B9J08_002055	scaffold00010:238853-239410	-	hypothetical protein
B9J08_002056	scaffold00010:240155-242830	+	hypothetical protein
B9J08_002057	scaffold00010:242893-244764	-	hypothetical protein
B9J08_002058	scaffold00010:246506-248050	-	hypothetical protein
B9J08_002059	scaffold00010:248458-249867	-	hypothetical protein
B9J08_002060	scaffold00010:250506-252320	-	carbon catabolite-derepressing protein kinase
B9J08_002061	scaffold00010:252697-253356	-	hypothetical protein
B9J08_002062	scaffold00010:253871-254710	+	hypothetical protein
B9J08_002063	scaffold00010:254858-255601	+	hypothetical protein
B9J08_002064	scaffold00010:255888-257315	+	hypothetical protein
B9J08_002065	scaffold00010:257407-259155	-	hypothetical protein
B9J08_002066	scaffold00010:259684-261639	-	hypothetical protein
B9J08_002067	scaffold00010:262765-264540	-	hypothetical protein
B9J08_002068	scaffold00010:265268-266305	-	hypothetical protein
B9J08_002069	scaffold00010:268165-269136	+	hypothetical protein
B9J08_002070	scaffold00010:269314-270177	+	hypothetical protein
B9J08_002071	scaffold00010:270206-270640	-	hypothetical protein
B9J08_002072	scaffold00010:270918-271328	-	histone
B9J08_002073	scaffold00010:271887-272198	+	histone H4
B9J08_002074	scaffold00010:272279-273940	-	hypothetical protein
B9J08_002075	scaffold00010:274285-275373	-	hypothetical protein
B9J08_002076	scaffold00010:275905-276564	+	hypothetical protein
B9J08_002077	scaffold00010:276848-278503	+	hypothetical protein
B9J08_002078	scaffold00010:278670-285266	-	protein URA2
B9J08_002079	scaffold00010:290542-292239	+	hypothetical protein
B9J08_002080	scaffold00010:292680-295766	+	hypothetical protein
B9J08_002081	scaffold00010:295902-296759	+	U3 small nucleolar ribonucleoprotein IMP4
B9J08_002082	scaffold00010:297092-298432	-	hypothetical protein
B9J08_002083	scaffold00010:300951-304796	+	hypothetical protein
B9J08_002084	scaffold00010:304822-305460	-	hypothetical protein
B9J08_002085	scaffold00010:305950-306672	+	histone chaperone ASF1
B9J08_002086	scaffold00010:306770-308188	-	hypothetical protein
B9J08_002087	scaffold00010:309856-311262	+	hypothetical protein
B9J08_002088	scaffold00010:311608-312156	+	hypothetical protein
B9J08_002089	scaffold00010:312282-313369	-	hypothetical protein
B9J08_002090	scaffold00010:314038-316173	+	hypothetical protein
B9J08_002091	scaffold00010:316410-317873	+	hypothetical protein
B9J08_002092	scaffold00010:317899-318876	-	hypothetical protein
B9J08_002093	scaffold00010:318980-321127	-	hypothetical protein
B9J08_002094	scaffold00010:321593-322921	-	hypothetical protein
B9J08_002095	scaffold00010:323429-324664	+	hypothetical protein
B9J08_002096	scaffold00010:325768-327507	+	hypothetical protein
B9J08_002097	scaffold00010:327719-329194	+	hypothetical protein
B9J08_002098	scaffold00010:329228-330268	-	hypothetical protein
B9J08_002099	scaffold00010:330401-331048	+	hypothetical protein
B9J08_002100	scaffold00010:331441-332442	+	RNA polymerase II holoenzyme cyclin-like subunit
B9J08_002101	scaffold00010:332984-334114	+	hypothetical protein
B9J08_002102	scaffold00010:334154-335479	-	hypothetical protein
B9J08_002103	scaffold00010:335677-336048	+	hypothetical protein
B9J08_002104	scaffold00010:337977-340245	-	hypothetical protein
B9J08_002105	scaffold00010:340630-344316	-	hypothetical protein
B9J08_002106	scaffold00010:345110-346138	+	hypothetical protein
B9J08_002107	scaffold00010:346148-346843	-	hypothetical protein
B9J08_002108	scaffold00010:349111-350286	+	hypothetical protein
B9J08_002109	scaffold00010:350710-353916	-	hypothetical protein
B9J08_002110	scaffold00010:358531-360567	+	hypothetical protein
B9J08_002111	scaffold00010:360673-362073	-	hypothetical protein
B9J08_002112	scaffold00010:362357-362685	-	mitochondrial import inner membrane translocase subunit TIM9
B9J08_002113	scaffold00010:362857-364347	-	asparagine-tRNA ligase
B9J08_002114	scaffold00010:364763-365713	+	hypothetical protein
B9J08_002115	scaffold00010:365772-367829	-	proline-tRNA ligase
B9J08_002116	scaffold00010:369239-370894	+	asparagine-tRNA ligase%2C cytoplasmic
B9J08_002117	scaffold00010:371167-372558	+	argininosuccinate lyase
B9J08_002118	scaffold00010:372647-373027	-	hypothetical protein
B9J08_002119	scaffold00010:374608-376614	+	hypothetical protein
B9J08_002120	scaffold00010:376844-378871	+	hypothetical protein
B9J08_002121	scaffold00010:378982-379638	+	hypothetical protein
B9J08_002122	scaffold00010:379652-380356	-	hypothetical protein
B9J08_002123	scaffold00010:381058-382176	-	hypothetical protein
B9J08_002124	scaffold00010:383345-385258	-	ATP-dependent RNA helicase DED1
B9J08_002125	scaffold00010:385834-387465	-	hypothetical protein
B9J08_002126	scaffold00010:387791-389458	-	hypothetical protein
B9J08_002127	scaffold00010:391424-393880	+	hypothetical protein
B9J08_002128	scaffold00010:394142-396166	+	hypothetical protein
B9J08_002129	scaffold00010:396712-399486	+	hypothetical protein
B9J08_002130	scaffold00010:399561-401006	-	hypothetical protein
B9J08_002131	scaffold00010:403045-405321	+	hypothetical protein
B9J08_002132	scaffold00010:405399-405668	-	hypothetical protein
B9J08_002133	scaffold00010:406190-407866	+	hypothetical protein
B9J08_002134	scaffold00010:408033-408120	+	tRNA-Lys
